UNICODIGO,NOMBRE_VACUNA,moda
000884,BNT162B2 PFIZER,2021-01-18T00:00:00.000000
002073,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
000495,BNT162B2 PFIZER,2021-01-06T00:00:00.000000
001271,CANSINO,2021-01-10T00:00:00.000000
002080,BNT162B2 PFIZER,2021-01-07T00:00:00.000000
040438,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002071,BNT162B2 PFIZER,2021-01-12T00:00:00.000000
001417,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
001873,CORONAVAC SINOVAC,2021-01-05T00:00:00.000000
001159,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
000656,ASTRAZENECA,2021-01-16T00:00:00.000000
001974,BNT162B2 PFIZER,2021-01-31T00:00:00.000000
000007,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
001192,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
000753,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
040511,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000508,ASTRAZENECA,2021-01-21T00:00:00.000000
002063,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
000612,ASTRAZENECA,2021-01-13T00:00:00.000000
001258,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000985,BNT162B2 PFIZER,2021-01-15T00:00:00.000000
002845,BNT162B2 PFIZER,2021-01-18T00:00:00.000000
000517,CORONAVAC SINOVAC,2021-01-04T00:00:00.000000
002057,ASTRAZENECA,2021-01-08T00:00:00.000000
002056,BNT162B2 PFIZER,2021-01-20T00:00:00.000000
000559,CORONAVAC SINOVAC,2021-01-02T00:00:00.000000
001994,CORONAVAC SINOVAC,2021-01-20T00:00:00.000000
002767,BNT162B2 PFIZER,2021-01-17T00:00:00.000000
000786,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
001766,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002050,BNT162B2 PFIZER,2021-01-12T00:00:00.000000
000652,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
000542,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
048775,ASTRAZENECA,2021-01-26T00:00:00.000000
001740,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000633,BNT162B2 PFIZER,2021-01-20T00:00:00.000000
001116,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
001401,ASTRAZENECA,2021-01-01T00:00:00.000000
000884,CANSINO,2021-01-11T00:00:00.000000
002014,CORONAVAC SINOVAC,2021-01-28T00:00:00.000000
001401,BNT162B2 PFIZER,2021-01-08T00:00:00.000000
001254,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
000795,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001249,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
002907,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001315,ASTRAZENECA,2021-01-15T00:00:00.000000
002980,CORONAVAC SINOVAC,2021-01-09T00:00:00.000000
002814,CORONAVAC SINOVAC,2021-01-20T00:00:00.000000
001974,CORONAVAC SINOVAC,2021-01-16T00:00:00.000000
000956,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
002099,BNT162B2 PFIZER,2021-01-28T00:00:00.000000
002084,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
002070,ASTRAZENECA,2021-01-03T00:00:00.000000
000354,CORONAVAC SINOVAC,2021-01-22T00:00:00.000000
000507,ASTRAZENECA,2021-01-25T00:00:00.000000
001638,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
002795,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
000782,CANSINO,2021-01-22T00:00:00.000000
000969,BNT162B2 PFIZER,2021-01-26T00:00:00.000000
001540,BNT162B2 PFIZER,2021-01-10T00:00:00.000000
002980,ASTRAZENECA,2021-01-29T00:00:00.000000
002071,CORONAVAC SINOVAC,2021-01-27T00:00:00.000000
001874,BNT162B2 PFIZER,2021-01-15T00:00:00.000000
001256,CORONAVAC SINOVAC,2021-01-18T00:00:00.000000
002062,ASTRAZENECA,2021-01-07T00:00:00.000000
000278,ASTRAZENECA,2021-01-22T00:00:00.000000
001881,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
001866,CORONAVAC SINOVAC,2021-01-19T00:00:00.000000
001875,CORONAVAC SINOVAC,2021-01-03T00:00:00.000000
000780,CORONAVAC SINOVAC,2021-01-06T00:00:00.000000
000858,BNT162B2 PFIZER,2021-01-29T00:00:00.000000
000988,BNT162B2 PFIZER,2021-01-05T00:00:00.000000
000736,ASTRAZENECA,2021-01-19T00:00:00.000000
000348,CORONAVAC SINOVAC,2021-01-21T00:00:00.000000
002113,CORONAVAC SINOVAC,2021-01-13T00:00:00.000000
002062,BNT162B2 PFIZER,2021-01-07T00:00:00.000000
000807,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001656,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001743,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
000736,CORONAVAC SINOVAC,2021-01-16T00:00:00.000000
001298,BNT162B2 PFIZER,2021-01-25T00:00:00.000000
001388,CORONAVAC SINOVAC,2021-01-12T00:00:00.000000
000540,BNT162B2 PFIZER,2021-01-31T00:00:00.000000
002120,ASTRAZENECA,2021-01-12T00:00:00.000000
000857,ASTRAZENECA,2021-01-06T00:00:00.000000
002900,BNT162B2 PFIZER,2021-01-12T00:00:00.000000
000670,CORONAVAC SINOVAC,2021-01-21T00:00:00.000000
000102,BNT162B2 PFIZER,2021-01-22T00:00:00.000000
021215,BNT162B2 PFIZER,2021-01-20T00:00:00.000000
000905,CORONAVAC SINOVAC,2021-01-27T00:00:00.000000
002065,BNT162B2 PFIZER,2021-01-27T00:00:00.000000
001767,BNT162B2 PFIZER,2021-01-21T00:00:00.000000
001332,ASTRAZENECA,2021-01-10T00:00:00.000000
002796,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
001299,ASTRAZENECA,2021-01-22T00:00:00.000000
000308,BNT162B2 PFIZER,2021-01-11T00:00:00.000000
